('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         341460 function calls (333358 primitive calls) in 1.594 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35914    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    30305    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
25086/22783    0.003    0.000    0.004    0.000 {built-in method builtins.len}
    12331    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
    12252    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    11565    0.004    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
    11528    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
     7600    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
     6916    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     6557    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     6108    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     5799    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     5692    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
     4840    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
     4514    0.001    0.000    0.002    0.000 sre_parse.py:160(__len__)
     4287    0.000    0.000    0.000    0.000 element.py:1419(__bool__)
     4137    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     3950    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     3696    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     3493    0.001    0.000    0.001    0.000 element.py:1802(descendants)
     3064    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     3029    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     2797    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     2689    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     2603    0.002    0.000    0.002    0.000 __init__.py:478(string_container)
     2603    0.003    0.000    0.009    0.000 __init__.py:541(endData)
     2561    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
     2548    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2370    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2320    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2251    0.001    0.000    0.002    0.000 css_parser.py:308(match)
     2213    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     2149    0.002    0.000    0.002    0.000 element.py:158(setup)
     1994    0.000    0.000    0.004    0.000 {built-in method builtins.next}
     1944    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
 1727/252    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
 1716/130    0.007    0.000    0.017    0.000 sre_compile.py:71(_compile)
     1667    0.001    0.000    0.006    0.000 element.py:2043(search)
     1621    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1531    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1413    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     1413    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     1333    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1290    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
     1286    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
 1278/135    0.013    0.000    0.040    0.000 sre_parse.py:493(_parse)
     1265    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1187    0.003    0.000    0.003    0.000 __init__.py:527(pushTag)
     1187    0.001    0.000    0.001    0.000 __init__.py:195(can_be_empty_element)
     1187    0.000    0.000    0.000    0.000 __init__.py:434(set_up_substitutions)
     1187    0.005    0.000    0.015    0.000 element.py:1068(__init__)
     1186    0.002    0.000    0.002    0.000 __init__.py:513(popTag)
     1186    0.003    0.000    0.005    0.000 __init__.py:644(_popToTag)
     1186    0.004    0.000    0.024    0.000 __init__.py:678(handle_starttag)
     1186    0.001    0.000    0.011    0.000 __init__.py:716(handle_endtag)
     1186    0.001    0.000    0.001    0.000 element.py:1184(is_empty_element)
     1186    0.001    0.000    0.004    0.000 element.py:1980(search_tag)
     1186    0.003    0.000    0.028    0.000 _htmlparser.py:119(handle_starttag)
     1186    0.001    0.000    0.012    0.000 _htmlparser.py:171(handle_endtag)
     1186    0.011    0.000    0.056    0.000 parser.py:301(parse_starttag)
     1186    0.001    0.000    0.005    0.000 parser.py:352(check_for_whole_start_tag)
     1186    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
     1138    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
     1138    0.003    0.000    0.008    0.000 __init__.py:284(_replace_cdata_list_attribute_values)
     1117    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     1117    0.003    0.000    0.017    0.000 parser.py:386(parse_endtag)
     1105    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1105    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1078    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      959    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      908    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      878    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      876    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
  851/131    0.003    0.000    0.040    0.000 sre_parse.py:435(_parse_sub)
      795    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x107d5b930}
      792    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      745    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      741    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      741    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
      669    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      669    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      669    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      647    0.001    0.000    0.001    0.000 socket.py:694(readable)
      645    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      645    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      645    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      645    0.003    0.000    1.155    0.002 socket.py:655(readinto)
      644    0.002    0.000    1.071    0.002 ssl.py:1090(read)
      644    0.003    0.000    1.074    0.002 ssl.py:1230(recv_into)
      644    1.069    0.002    1.069    0.002 {method 'read' of '_ssl._SSLSocket' objects}
      568    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      549    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      549    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      544    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      544    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      532    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
      532    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      501    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      492    0.000    0.000    0.000    0.000 element.py:1943(_normalize_search_value)
      486    0.001    0.000    0.002    0.000 element.py:2076(_matches)
      485    0.000    0.000    0.000    0.000 __init__.py:726(handle_data)
      481    0.001    0.000    0.002    0.000 __init__.py:576(object_was_parsed)
      481    0.001    0.000    0.002    0.000 element.py:890(__new__)
      481    0.000    0.000    0.000    0.000 element.py:933(name)
      472    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      472    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
      456    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      408    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      370    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      369    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      350    0.000    0.000    0.003    0.000 enum.py:313(__call__)
      340    0.000    0.000    0.000    0.000 enum.py:631(__new__)
      335    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      333    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      333    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
      332    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      330    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      325    0.001    0.000    0.004    0.000 css_parser.py:1014(selector_iter)
      321    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      318    0.005    0.000    0.749    0.002 {method 'read' of '_io.BufferedReader' objects}
      315    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      311    0.000    0.000    0.000    0.000 css_parser.py:303(get_name)
      310    0.004    0.000    0.048    0.000 {built-in method builtins.__build_class__}
      308    0.000    0.000    0.000    0.000 css_parser.py:239(css_unescape)
      303    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      275    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      273    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      273    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      273    0.000    0.000    0.001    0.000 enum.py:75(__setitem__)
      273    0.000    0.000    0.000    0.000 css_parser.py:335(match)
      268    0.000    0.000    0.064    0.000 re.py:250(compile)
      268    0.001    0.000    0.064    0.000 re.py:289(_compile)
      266    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      260    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
  247/243    0.000    0.000    0.000    0.000 element.py:1202(string)
      244    0.001    0.000    0.001    0.000 element.py:766(<genexpr>)
      239    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      230    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      229    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
      228    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      225    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      221    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      221    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      220    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      219    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      218    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      216    0.000    0.000    0.000    0.000 os.py:752(decode)
      213    0.001    0.000    0.748    0.004 client.py:605(_safe_read)
      210    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      210    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      199    0.000    0.000    0.000    0.000 types.py:171(__get__)
      189    0.000    0.000    0.001    0.000 css_types.py:302(__init__)
      163    0.000    0.000    0.000    0.000 enum.py:748(value)
    162/4    0.000    0.000    0.130    0.033 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      160    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      159    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      158    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
  156/155    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      151    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      151    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
  151/123    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      140    0.000    0.000    0.412    0.003 {method 'readline' of '_io.BufferedReader' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:360(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:376(_freeze_relations)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:386(freeze)
      136    0.000    0.000    0.002    0.000 css_types.py:177(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
    132/3    0.000    0.000    0.132    0.044 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    132/3    0.001    0.000    0.132    0.044 <frozen importlib._bootstrap>:986(_find_and_load)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      131    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      131    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      130    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      130    0.000    0.000    0.001    0.000 enum.py:933(__and__)
      130    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
