s
Thu Jun 17 23:02:03 2021    tmp

         341526 function calls (333424 primitive calls) in 1.276 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    33/23    0.000    0.000    0.072    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      151    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    162/4    0.000    0.000    0.130    0.033 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1531    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      229    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
      230    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      127    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      127    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    127/4    0.000    0.000    0.131    0.033 <frozen importlib._bootstrap>:650(_load_unlocked)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      131    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    132/3    0.000    0.000    0.132    0.044 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    132/3    0.001    0.000    0.132    0.044 <frozen importlib._bootstrap>:986(_find_and_load)
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       19    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
